,value,month,year,change
629,101.5,2,1969,-0.022155085599194324
630,102.0,1,1969,-0.0049261083743843415
631,106.5,12,1968,-0.044117647058823595
632,105.4,11,1968,0.010328638497652531
633,103.8,10,1968,0.015180265654649028
634,101.3,9,1968,0.024084778420038533
635,98.11,8,1968,0.031490621915103656
636,100.3,7,1968,-0.022321883600040726
637,100.5,6,1968,-0.001994017946161497
638,97.87,5,1968,0.026169154228855684
639,95.67,4,1968,0.022478798406048828
640,89.09,3,1968,0.0687780913557019
641,90.75,2,1968,-0.018632843192277537
642,95.04,1,1968,-0.047272727272727355
643,95.3,12,1967,-0.0027356902356900914
644,92.66,11,1967,0.02770199370409232
645,95.66,10,1967,-0.03237642995898993
646,95.81,9,1967,-0.0015680535228936865
647,94.49,8,1967,0.013777267508610858
648,93.01,7,1967,0.015663033125198345
649,91.43,6,1967,0.01698742070745074
650,92.59,5,1967,-0.01268730176090993
651,90.96,4,1967,0.017604492925802018
652,89.42,3,1967,0.016930518909410663
653,87.36,2,1967,0.023037351822858487
654,84.45,1,1967,0.03331043956043955
655,81.33,12,1966,0.03694493783303732
656,80.99,11,1966,0.004180499200787002
657,77.13,10,1966,0.0476602049635757
658,77.81,9,1966,-0.008816284195514168
659,80.65,8,1966,-0.03649916463179537
660,85.84,7,1966,-0.06435213887166769
661,86.06,6,1966,-0.002562907735321529
662,86.78,5,1966,-0.008366256100394986
663,91.6,4,1966,-0.05554275178612578
664,88.88,3,1966,0.029694323144104806
665,92.69,2,1966,-0.042866786678667834
666,93.32,1,1966,-0.006796849714100661
667,91.73,12,1965,0.01703814830690087
668,92.15,11,1965,-0.004578654747628974
